"Respondent","price","brand2","brand3","ff2","ff3","feat2","feat3","LV_disturbance"
24,0.04164363624,1.840387264,-1.317655973,0.7928425816,-0.6579681484,0.8659229207,1.683745562,0.128429362
25,0.08170911133,-0.3153452048,-0.9221606981,0.6466768804,1.159835982,1.465742971,1.310802561,0.2578143177
26,-0.5189039963,1.089756502,-2.253772014,-0.1514806275,0.7697578307,0.5275673955,2.47805863,-0.7005773943
27,-0.2326149417,1.685763362,-0.2219804884,0.8319171545,-0.4413547777,1.022273055,1.015500533,0.6857623541
28,-0.1876764516,-0.04696083428,0.03998276454,0.5442503844,0.1992784492,0.4421947488,2.944354907,0.2082383537
29,-0.2256206861,1.324623953,-1.028705239,-0.6390193315,1.838545229,1.272165782,1.458583891,-0.08348838307
30,-0.330582958,1.2214814,-0.3261750638,1.541954495,1.066409045,0.1628537832,2.233909052,0.3182037003
31,0.01370714918,0.8816168523,-0.03662467558,1.297469434,0.870602237,0.009573000535,1.969692808,0.4938858838
32,-0.1680739109,0.7792381731,-0.6814264738,-0.03771956082,1.795104661,1.085989953,1.756959995,0.7453535665
33,0.02680697368,1.047938738,-0.7544449695,0.1432595279,1.619569148,1.682530669,0.2466802,0.02440232354
34,-0.4334762677,1.820680119,-1.061027844,-0.2603397189,1.021807316,0.8456554561,1.485826731,0.2343981846
35,-0.05371194163,0.2081565636,-1.883687802,0.6654012599,0.7787312161,1.784746324,0.8874493999,0.6507795315
36,-0.4122951139,1.851326691,-0.6756623932,-0.3269560966,-0.1941115929,0.2202191245,2.393023122,-0.4271514348
37,-0.1184171455,1.887077907,-1.162990846,-0.5965049766,0.8141196276,0.5853815875,2.123218366,-0.315528948
38,-0.05757900038,0.9577842598,-0.9933741916,-1.121917164,0.6514712312,0.5525764909,2.696460591,-0.1284797102
39,-0.3318371213,0.5194811808,-1.246790081,0.03494153308,0.1314739541,1.490013666,1.822056229,-0.1941321124
40,-0.03848758446,1.623388656,-1.597918263,-0.3994454731,0.4996763215,0.5229256086,1.006190765,0.2708801033
41,0.2794498074,-0.2928882765,-1.213296845,-0.6336413627,0.9068067454,1.245206901,0.8869373379,0.217152713
42,0.3517220404,0.7718329239,-0.6000440112,-0.2840117459,0.7852819518,0.4890457584,2.419160684,-0.6569000654
43,-0.3363942837,2.004456458,-0.7447935932,-1.265315961,1.006148366,1.576126715,0.6334284538,0.6310594729
44,0.021104728,0.7206350362,0.2230013666,0.4902099191,0.1181781117,0.8367782594,1.691139803,-0.5222643618
45,0.2431006346,0.6130616272,-0.6913721198,0.08095670461,1.028294257,0.392113247,2.846315733,-0.06261989134
46,0.3424231166,1.050392018,-1.188014594,-0.5473550281,1.557840399,1.801841854,1.135943853,0.5224137698
47,-0.02159243144,0.3518918663,-1.395073528,-0.1488447367,1.308972082,0.8801093803,2.541092851,0.03930115005
48,-0.3619610458,1.228109672,-0.1309038346,-1.389039557,0.2079699175,1.693740324,1.56601252,0.1741432005
49,0.1041865539,1.708664294,-1.529841618,-0.2298149926,0.09828638075,1.251275534,1.53563841,0.9431962276
50,-0.3925504278,-0.7950459659,0.03821944736,-0.9624136766,1.733195196,0.3731214888,1.769552408,0.7896587661
51,-0.1472781746,-0.3564947034,-0.1407616878,-0.3901715067,1.891048993,0.196432967,2.46687304,-0.03387659177
52,0.6411692875,1.068734531,0.07445936332,0.7114545143,0.5523034861,1.635047789,1.161765704,-0.1573212999
53,-0.1705874097,1.551960488,-0.7668601098,-0.8338639114,2.206688137,1.201276679,0.9133767974,0.6641053497
54,-0.08569982494,0.3392717723,-0.7835775594,-0.3718492145,1.30301022,2.147283978,1.21529234,-0.3970153713
55,-0.1760476603,0.5229176321,-1.843464567,-0.06719209443,0.656044314,0.08663456549,2.435354674,0.6431550386
56,0.7241481298,0.3673901797,-0.8695273571,0.08671062215,0.5579412435,1.40781439,2.007071278,-0.2025989704
57,0.1629420104,0.1704075586,-1.730302316,0.4563001501,-0.08354039143,0.7612572466,2.190641277,0.329724759
58,-0.07504188842,1.558299852,-1.491484616,0.08916558284,0.7678748997,1.259917505,0.3136989877,-0.5552427724
59,-0.06353169719,0.8555328147,-0.1198405231,1.436525844,0.1115950037,0.5208752119,2.668612368,0.7235585777
60,-0.4184593249,1.637540217,-1.74003158,-0.3971721767,1.156173431,0.6291530063,2.158154385,1.397801805
61,0.1497999651,0.1822069984,-0.90465267,-0.2257685723,1.991167893,0.904697044,2.058849097,0.8161526236
62,0.09498501112,0.3907164351,-0.4603435374,0.9387542824,0.09021799791,0.7108069349,2.184487181,-0.4156978513
63,-0.1738943617,0.1495258262,-1.707443778,0.3080285472,0.04667351424,1.568438868,1.822979556,-0.4465782742
64,0.1010949236,0.4994121287,-0.5909661782,0.03334930759,0.8323199939,0.2550999686,1.344835459,-0.7055572938
65,0.148689331,0.2056654335,-0.6253369306,-1.19297188,0.531206808,0.96357204,1.345585039,0.1983275333
