"iteration","lambda","gamma1","gamma2","sigma1","sigma2","zeta1","zeta2","tau"
39,0.354977878,-0.2067399497,0.3934032203,0.961662731,0.999352527,-0.5782990176,-0.09748584358,-0.2514688138
40,0.354977878,-0.2067399497,0.3934032203,0.961662731,0.999352527,-0.5782990176,-0.09748584358,-0.2514688138
41,0.3588232574,-0.1958940526,0.400459851,0.9317978082,0.987254307,-0.5885428895,-0.1050292149,-0.2350439589
42,0.3588232574,-0.1958940526,0.400459851,0.9317978082,0.987254307,-0.5885428895,-0.1050292149,-0.2350439589
43,0.3588232574,-0.1958940526,0.400459851,0.9317978082,0.987254307,-0.5885428895,-0.1050292149,-0.2350439589
44,0.3588232574,-0.1958940526,0.400459851,0.9317978082,0.987254307,-0.5885428895,-0.1050292149,-0.2350439589
45,0.3588232574,-0.1958940526,0.400459851,0.9317978082,0.987254307,-0.5885428895,-0.1050292149,-0.2350439589
46,0.3588232574,-0.1958940526,0.400459851,0.9317978082,0.987254307,-0.5885428895,-0.1050292149,-0.2350439589
47,0.346520773,-0.1888474227,0.3956444392,0.9389578295,0.9977172544,-0.6072521267,-0.1351722329,-0.2383151445
48,0.3408374435,-0.1948754037,0.3987248729,0.949734464,1.004889809,-0.6192158903,-0.1492353057,-0.2551366247
49,0.3408374435,-0.1948754037,0.3987248729,0.949734464,1.004889809,-0.6192158903,-0.1492353057,-0.2551366247
50,0.3408374435,-0.1948754037,0.3987248729,0.949734464,1.004889809,-0.6192158903,-0.1492353057,-0.2551366247
51,0.3692901604,-0.2183322417,0.4162529056,0.9618890871,0.9737178911,-0.6100348957,-0.1555511711,-0.2513013155
52,0.3591001589,-0.1945079081,0.4214030518,0.9602977815,0.981003651,-0.6198892646,-0.163055697,-0.2606001552
