"Respondent","Bx","By"
765,0.1831566022,0.1683385511
766,0.1843943247,0.2346402584
767,0.5286525097,0.2692862722
768,0.6840713579,0.5171786905
769,0.4851838743,0.3460579036
770,0.7414501241,0.9646913374
771,0.6308190466,0.964168388
772,0.7477334248,0.9657932599
773,0.8702520539,0.6443196222
774,0.2399452707,0.3273357466
775,0.3946999294,0.5024003674
776,0.7661847107,0.7869952478
777,0.8961908141,0.9483791076
778,0.8316876769,0.6470264508
779,0.6582131268,0.9393660627
780,0.715184836,0.939203213
781,0.260775276,0.7363458117
782,0.6985881923,0.2797379489
783,0.7876389954,0.8240970291
784,0.7101794286,0.8472479536
785,0.6379245105,0.5510916555
786,0.5765475258,1.05758348
787,0.7248898146,0.9407605208
788,0.2575543856,0.692724085
789,0.5128838449,0.2594895853
790,0.6751530376,0.2419856914
791,0.5281038339,0.52358243
792,0.6620411516,0.93657153
793,0.7486521528,0.3185192783
794,0.7395152683,0.8691726778
795,0.7022802414,0.9347663502
796,0.4707850269,0.3672535521
797,0.8028326833,0.8740231583
798,0.3420803605,0.3117611494
799,0.4292622183,0.344035908
800,0.7320388506,0.6740776812
801,0.7714676644,0.879597418
802,0.6326613799,0.4946467422
803,0.7140964252,0.9130901639
804,0.2704744793,0.7686206615
805,0.3668748302,0.8670750654
806,0.3546471179,0.1588029149
807,0.715651942,0.8958490668
808,0.6732591402,0.5799760698
809,0.7324648582,0.5670002219
810,0.4512182288,0.5941853894
811,0.7217777187,0.9285201017
812,0.7542795343,0.9415099973
813,0.3919760236,0.4693974564
814,0.7201743748,0.6629200142
815,0.6668767334,1.076286926
816,0.2903231385,0.2871836276
817,0.3663424009,0.1579970477
818,0.8585037495,0.9031822895
819,0.6379455066,0.3468421824
820,0.835016661,0.9189277936
821,0.2252407277,0.7659600284
822,0.1959790062,0.7181718071
823,0.5780547052,0.4461198625
824,0.9682216514,0.847864475
825,0.7165912324,0.6308704579
826,0.8191214032,0.8731064579
827,0.490627939,0.6263989361
828,0.6729492469,1.004076016
829,0.8685888163,0.7865560946
830,0.5513453316,0.4768876748
831,0.6130760242,0.3102254266
832,0.5417549037,0.4046555578
833,0.7601393641,0.3437526281
834,0.4812852923,0.5230543989
835,0.3253573979,0.3601313221
836,0.8445400512,0.9042813873
837,0.7959041204,0.9639787583
838,0.8356825368,0.9435998025
839,0.6254411281,1.000051281
840,0.6610503972,0.9163406756
841,0.8068689091,0.8872849429
842,0.8807225951,0.868262038
843,0.6826769134,0.1735258433
844,0.4525498348,0.6076427716
845,0.5652942996,0.2748116833
846,0.6980713418,0.9885998654
847,0.7232944434,0.9052052146
848,0.2904445621,0.5325331759
849,0.8218425804,0.8609396067
850,0.7612995694,0.6432542818
851,0.4210442755,0.348293686
852,0.6530976512,0.9989101263
853,0.7782069595,0.9174928161
854,0.4485719222,0.2342076404
855,0.7507417848,0.969617842
856,0.5845268783,0.5678207399
857,0.7664347186,0.9592142635
858,0.6746569647,0.7974727201
859,0.4919910448,0.5320201571
860,0.3977850579,0.4952892307
861,0.8799576934,0.9362691417
862,0.5846058627,0.561379251
863,0.6817999159,0.988392511
864,0.3061475199,0.427196334
865,0.5705730239,0.6370503044
866,0.225312943,0.162387808
867,0.7582936807,0.7353944954
868,0.8553712731,0.9643526596
869,0.3319955323,0.3433474632
870,0.734971822,0.9354574255
871,0.5540777853,0.7911437434
872,0.3744689242,0.186364554
873,0.8008532877,0.6649947125
874,0.8468077501,0.8495637981
875,0.7917382441,0.6231144376
876,0.7830415673,0.5296570587
877,0.711556133,0.9393619405
878,0.8098591923,0.8299367297
879,0.8180149593,0.9339003264
880,0.78374732,0.8762891662
881,0.250944203,0.5503002489
882,0.6387401738,0.877471083
883,0.3635398992,0.4792231287
884,1.017851548,0.8517683165
885,0.6610533413,1.03408464
