"iteration","Bx","By"
135,0.4571655016,-0.5294633732
136,0.471371169,-0.5075242877
137,0.477981986,-0.5014057914
138,0.4491262512,-0.4969592398
139,0.4842092056,-0.5053103433
140,0.4722537106,-0.4978359428
141,0.4672045888,-0.529853645
142,0.4491180194,-0.5130613954
143,0.4447302518,-0.518925596
144,0.4612180215,-0.5184125175
145,0.4513231689,-0.5264483585
146,0.4675006966,-0.5505537067
147,0.4735414141,-0.5363432575
148,0.4453363619,-0.5345358161
149,0.4605123427,-0.5265908515
150,0.457398084,-0.5348636867
151,0.4550927424,-0.5176984724
152,0.4663161672,-0.5520288402
153,0.4360273396,-0.5241777275
154,0.4543725238,-0.5542807159
155,0.4526313191,-0.5343158615
156,0.4493442635,-0.5509109485
157,0.4504098134,-0.5221551468
158,0.4256801612,-0.5339601133
159,0.4452266683,-0.5422975811
160,0.4220280411,-0.512845127
161,0.4078895365,-0.5373712029
162,0.4361794701,-0.5140603528
163,0.445480796,-0.5235631837
164,0.4606607427,-0.5177640196
165,0.4426090321,-0.5110848956
166,0.4176218675,-0.4942816308
167,0.4295156961,-0.5341330378
168,0.4316509581,-0.4882063408
169,0.4377230074,-0.515528247
170,0.459284269,-0.5089517433
171,0.4732304538,-0.5259088962
172,0.4577310463,-0.5408776389
173,0.4600513529,-0.5372446507
174,0.4534893593,-0.5271593491
175,0.4778624326,-0.5168185561
176,0.4537363468,-0.50807787
177,0.4543040002,-0.5379596182
178,0.4643900518,-0.5262338846
179,0.4498603338,-0.5327265546
180,0.4591409167,-0.5363019371
181,0.4796543171,-0.5394510588
182,0.4741084361,-0.5148661381
183,0.4913604197,-0.5223255795
184,0.4695745435,-0.5359577526
185,0.4897976174,-0.5344412378
186,0.485865576,-0.5305551003
187,0.4656653659,-0.5242844877
188,0.4803148378,-0.5173791605
189,0.4851931196,-0.5414647218
190,0.4733704414,-0.5477986679
191,0.4717651999,-0.5611782724
192,0.4537523556,-0.5278776462
193,0.4403834843,-0.5336406606
194,0.4510409432,-0.5302240972
195,0.451394244,-0.5467605589
196,0.4399460689,-0.5306002896
197,0.4432170263,-0.5477890865
198,0.4288047965,-0.5484327532
199,0.4516640592,-0.5198610754
200,0.4490951264,-0.5302324997
201,0.4631090882,-0.551527716
202,0.4473844338,-0.5361236435
203,0.4718070852,-0.5292122828
204,0.4316187416,-0.5347902982
205,0.4345066796,-0.5408065893
206,0.4762818382,-0.551228091
207,0.4308551214,-0.5193487643
208,0.4456410036,-0.5494445641
209,0.4620524819,-0.543198659
210,0.4324848391,-0.5251885879
211,0.4392192866,-0.5347850631
212,0.4484239798,-0.5232881251
213,0.4634858891,-0.5368690163
214,0.4358553681,-0.5379822699
215,0.4578832661,-0.5259006656
216,0.4443973286,-0.5618795973
217,0.4719736881,-0.5292663636
218,0.4496434304,-0.5424427174
219,0.4745723614,-0.5286554756
220,0.4708755837,-0.5587884704
221,0.4524040514,-0.530376059
222,0.4654915119,-0.5171817468
223,0.4421503212,-0.4926627151
224,0.4675780647,-0.5482951686
225,0.4551023587,-0.530266047
226,0.4792741583,-0.5400612444
227,0.4997263661,-0.5309560389
228,0.4485076639,-0.5288446488
229,0.4834248226,-0.5211365411
230,0.5209051615,-0.5089122639
231,0.4798883053,-0.5320787639
232,0.4449618402,-0.5194895868
233,0.4656111816,-0.5221194082
234,0.4996088113,-0.5422354732
235,0.4822375765,-0.5410723169
236,0.4474754368,-0.5441726658
237,0.469391608,-0.5448310469
238,0.4595499739,-0.5153710019
239,0.454306325,-0.5353568308
240,0.4802715294,-0.520567918
241,0.4481743671,-0.5307163318
242,0.4686316549,-0.5328704444
243,0.4547925508,-0.5413352291
244,0.498393768,-0.5313438032
245,0.445119891,-0.5122525369
246,0.4484211821,-0.5329112614
247,0.4753281868,-0.5256379045
248,0.4215734164,-0.5447528825
249,0.454726608,-0.5142955392
250,0.4227606956,-0.5409785287
251,0.4266027147,-0.5498217254
252,0.4313349038,-0.5410410704
253,0.4392043658,-0.549902255
254,0.4093189405,-0.5501470909
255,0.4049779668,-0.5747625386
256,0.4272206052,-0.5427150967
257,0.4433663561,-0.5499403516
258,0.4408156167,-0.557996766
259,0.4060028719,-0.5546036787
260,0.3976440156,-0.5311380679
261,0.4295816188,-0.5428195937
262,0.4055682306,-0.5681170245
263,0.4280298301,-0.5245289638
264,0.3990591025,-0.5360471966
265,0.3949345311,-0.5580359563
266,0.4050921592,-0.5357837707
267,0.4018760406,-0.5399551042
268,0.40506613,-0.5471938515
269,0.408914088,-0.5243282879
270,0.4338079956,-0.5294954138
271,0.4390089005,-0.5388256495
272,0.4307842845,-0.5200978299
273,0.4114808317,-0.567008381
274,0.4187504237,-0.5275166416
275,0.4041495693,-0.5257080965
276,0.4000763901,-0.530088909
277,0.4201466892,-0.5477443684
278,0.412379767,-0.5500740527
279,0.4500925857,-0.5496422258
280,0.4064499776,-0.5196412536
281,0.4320351501,-0.5548605146
282,0.442912268,-0.5411869117
283,0.4421502984,-0.559247796
284,0.4369169216,-0.5483134074
285,0.4452016272,-0.5477402882
286,0.4284271375,-0.5608812802
287,0.4415371644,-0.5523161988
288,0.4408469857,-0.5573968837
289,0.4374398626,-0.5749816733
290,0.4220681302,-0.596150283
291,0.4330141055,-0.5981496027
292,0.4326425801,-0.5790832559
293,0.4398657649,-0.5631207015
294,0.4074223732,-0.5840744302
295,0.4115476147,-0.5932412255
296,0.4130449637,-0.5638092728
297,0.4176342361,-0.5514763061
298,0.4176205809,-0.5585615844
299,0.4001491146,-0.5891484016
300,0.4150294774,-0.5716933111
301,0.4166519325,-0.5647420742
302,0.4066702771,-0.5780091121
303,0.432016755,-0.5659208798
304,0.4384755833,-0.5797633365
305,0.4003483249,-0.5861431648
306,0.4146740329,-0.562538167
307,0.4310502188,-0.5682566258
308,0.4193201963,-0.5826558956
309,0.3993448146,-0.5877001357
310,0.4079798876,-0.5845701312
311,0.4125317128,-0.5867958583
312,0.3925856721,-0.5736634242
313,0.399582513,-0.5698741458
314,0.3726012822,-0.5814025155
315,0.4170252084,-0.5781452107
316,0.4036221675,-0.5971469652
317,0.4111620542,-0.6101049958
318,0.4156862058,-0.5888973262
319,0.4033458836,-0.5948671941
320,0.3995561819,-0.5920089497
321,0.4202398867,-0.6214382289
322,0.4129378298,-0.6063686068
323,0.3971588043,-0.609264131
324,0.4286443989,-0.5921718279
325,0.420796769,-0.5830689406
326,0.4368305954,-0.6235876646
327,0.4433638095,-0.6001995221
328,0.4102622808,-0.5777460155
329,0.4042718885,-0.5970553189
330,0.4382164611,-0.5955716531
331,0.444995335,-0.5649524474
332,0.4241872681,-0.5525597727
333,0.4108720906,-0.5788501215
334,0.4276421314,-0.5909232391
335,0.4451752611,-0.5617822908
336,0.424406008,-0.5741546919
337,0.4281066488,-0.5531173759
338,0.4397931439,-0.5715103851
339,0.4347975973,-0.5520784034
340,0.4147541249,-0.5669126756
341,0.4287327613,-0.5640670201
342,0.4349993804,-0.5490760211
343,0.4330398397,-0.5484775277
344,0.4471745486,-0.5658360219
345,0.4605194874,-0.5576833985
346,0.4432916029,-0.5512800867
347,0.4399400314,-0.5649926547
348,0.4320634824,-0.555244294
349,0.4482156638,-0.5629483926
350,0.4317385716,-0.5555202786
351,0.4274030968,-0.5499496819
352,0.4467296675,-0.5467194696
353,0.4390759006,-0.5485576337
354,0.4567729539,-0.5822353162
355,0.4472876521,-0.5704790526
356,0.4365530018,-0.5712250499
357,0.4539589613,-0.5863949826
358,0.4243246186,-0.5430977218
359,0.4313921675,-0.5320615547
360,0.4671106548,-0.5584490161
361,0.4417472327,-0.529941215
362,0.4348647574,-0.5370667274
363,0.4741176665,-0.5429542768
364,0.4299988712,-0.5547137131
365,0.4567331833,-0.5168341406
366,0.4388011807,-0.5329800822
367,0.4509523962,-0.5173958754
368,0.4573545499,-0.5142398948
369,0.4372929829,-0.5194051238
370,0.4560682599,-0.5250144451
371,0.4320231147,-0.5410316395
372,0.4474595559,-0.5446119049
373,0.4828143511,-0.5344615039
374,0.4794477103,-0.5401235052
375,0.4515151906,-0.5619428423
376,0.4434814736,-0.5353580674
377,0.4287640225,-0.5269640919
378,0.4477049232,-0.539737293
379,0.4382559126,-0.5306259919
380,0.4228892048,-0.5671866094
381,0.4284326103,-0.5569676135
382,0.4051148776,-0.5576556098
383,0.4238143618,-0.5480849138
384,0.4569804832,-0.5474916194
385,0.4416139711,-0.5354489382
386,0.4231894946,-0.5751545918
387,0.4192839156,-0.564767449
388,0.4264915842,-0.5353001067
389,0.4366305552,-0.5221078541
390,0.4259326092,-0.5467643234
391,0.4205357392,-0.5614509657
392,0.4197698956,-0.5455916051
393,0.4152630054,-0.5631241152
394,0.4008685652,-0.5768636797
395,0.4377191491,-0.5569626929
396,0.4122993017,-0.5982808895
397,0.4289531582,-0.5913491532
398,0.3997020838,-0.5754666467
399,0.3977393677,-0.6094651465
400,0.3884941832,-0.5988559616
401,0.3920057832,-0.6065605325
402,0.3798224077,-0.5805495765
403,0.3951526051,-0.5897816816
404,0.4060798821,-0.6000129357
405,0.403406432,-0.6143146316
406,0.4291250514,-0.5989334768
407,0.4250837702,-0.6177989224
408,0.4337795843,-0.6040956898
409,0.4164236719,-0.6141669056
410,0.4018339272,-0.6067992729
411,0.4335730384,-0.6112110449
412,0.4342904344,-0.6087226769
413,0.4426762691,-0.5822238295
414,0.4562536485,-0.5937887641
415,0.438307232,-0.5732618533
416,0.4589713568,-0.5909788321
417,0.4360237556,-0.5819093768
418,0.4394603569,-0.6034452611
419,0.4268060631,-0.5890546797
420,0.435733843,-0.6065575538
421,0.4176596681,-0.5918857125
422,0.4203291099,-0.5748883975
423,0.43411247,-0.576998796
424,0.4166302559,-0.5759187819
425,0.3967911221,-0.5640363142
426,0.4259684175,-0.568463981
427,0.4317251574,-0.5668649661
428,0.4548212702,-0.5938542116
429,0.4264952552,-0.56729155
430,0.4286767608,-0.5471156533
431,0.3881761552,-0.5535004018
432,0.4135673323,-0.5764150716
433,0.4212140666,-0.5667416208
434,0.4457527575,-0.5895143472
435,0.4096007173,-0.5838156626
436,0.4328632338,-0.5800784777
437,0.4326748012,-0.5802258901
438,0.4279650558,-0.5898184505
439,0.4349043823,-0.5758056489
440,0.4192263135,-0.5882225647
441,0.3975626787,-0.5709128491
442,0.4086482685,-0.5788653588
443,0.4163339294,-0.5721743699
444,0.4020786018,-0.5883429137
445,0.4243357262,-0.5780950616
446,0.4170231532,-0.5693830443
447,0.4327096855,-0.58941299
448,0.451547895,-0.5834322215
449,0.4532511826,-0.5816474835
450,0.3996433143,-0.5771451477
451,0.410680682,-0.5769985658
452,0.4179650051,-0.5915274305
453,0.4115270272,-0.5772900561
454,0.3982866412,-0.5484638133
455,0.4325444345,-0.5499012556
456,0.4126400094,-0.5596621527
457,0.4330541434,-0.5856969906
458,0.4384070398,-0.5872459254
459,0.4289048943,-0.5826234652
460,0.4309562337,-0.5429888884
461,0.4518137371,-0.5668100842
462,0.4633492244,-0.5550190986
463,0.4538677127,-0.5708906983
464,0.4648653496,-0.5509334681
465,0.4359795588,-0.5760051922
466,0.4469422726,-0.5331746744
467,0.4602699476,-0.5529632088
468,0.4710669421,-0.5872561679
469,0.4616956827,-0.5807890533
470,0.4137798005,-0.559707686
471,0.4037033044,-0.5804090366
472,0.4200716372,-0.5819997839
473,0.4054542623,-0.5822349638
474,0.4023688663,-0.5808802958
475,0.4207683108,-0.6095223488
476,0.4188505435,-0.5706217223
477,0.4279086935,-0.5783038767
478,0.392963005,-0.5771570745
479,0.3927493406,-0.6012572813
480,0.4126031076,-0.5829656791
481,0.411007827,-0.5972892201
482,0.4174185283,-0.5769739865
483,0.4142470125,-0.6009101866
484,0.3879161123,-0.6018925779
485,0.4222038482,-0.6110823434
486,0.4129315312,-0.6007560687
487,0.4263439784,-0.6170701342
488,0.4289063712,-0.5934436446
489,0.4198934664,-0.6112260453
490,0.4073267094,-0.6046521949
491,0.4300483327,-0.5727863886
492,0.4312307376,-0.5853825678
493,0.4199721159,-0.5908648418
494,0.434136715,-0.5750556164
495,0.4510557842,-0.6033103808
496,0.4285851421,-0.588045289
497,0.4350042811,-0.5935463063
498,0.4287056444,-0.6119131296
499,0.451721042,-0.5727902656
500,0.4488618448,-0.577308878
501,0.4783212773,-0.5707977432
502,0.4456180686,-0.5718485057
503,0.4405071864,-0.5616260997
504,0.4406244257,-0.5771604387
505,0.4358501688,-0.5769317576
506,0.4517577592,-0.5987217893
507,0.4340610521,-0.6124780171
508,0.4184987096,-0.6040187237
509,0.4294788506,-0.5984875139
510,0.4433473885,-0.5874280176
511,0.4461679013,-0.5775932211
512,0.4246179985,-0.5907772589
513,0.4285628288,-0.5690645087
514,0.4339294148,-0.5736392556
515,0.4186016229,-0.5691230974
516,0.450700524,-0.5680644448
517,0.44937518,-0.5644089372
518,0.4343163143,-0.5762098935
519,0.4614172609,-0.5731295482
520,0.445015012,-0.5790314473
521,0.4402690016,-0.6130500219
522,0.4517820287,-0.5880685271
523,0.4366073545,-0.5789331081
524,0.4395599549,-0.5821347382
525,0.4227122609,-0.5763995077
526,0.4388991109,-0.5714277779
527,0.4368645129,-0.584195177
528,0.4262418542,-0.5682011129
529,0.4010417434,-0.5792449201
530,0.4442184492,-0.5617235592
531,0.4286769398,-0.5317859085
532,0.4431888959,-0.5615415941
533,0.4344518897,-0.5540087693
534,0.4470961843,-0.5801650005
535,0.4349071321,-0.5610000706
536,0.4413262911,-0.5691402324
537,0.4374206951,-0.5520569045
538,0.4667444716,-0.5770299425
539,0.4683631693,-0.5508535126
540,0.4326976845,-0.5639210507
541,0.4532444643,-0.530270581
542,0.4475542802,-0.516597367
543,0.4406319563,-0.5342416053
544,0.4555007554,-0.561167825
545,0.4520378125,-0.5371699018
546,0.4589149528,-0.5545348903
547,0.4673469135,-0.5611710816
548,0.4517599432,-0.5429452377
549,0.4685224469,-0.5707152568
550,0.4765861496,-0.5771280128
551,0.4553414564,-0.5639616828
552,0.4492487185,-0.5749128864
553,0.4546343963,-0.5395421167
554,0.4474341197,-0.5572819056
555,0.4108805782,-0.5442038803
556,0.4168950133,-0.5551715908
557,0.3818713205,-0.5313452244
558,0.430827857,-0.5655402352
559,0.4090437182,-0.5329288177
560,0.4397108317,-0.5449640072
561,0.4263742216,-0.5295002202
562,0.4305837431,-0.5287883776
563,0.4135220016,-0.5167062527
564,0.4273399047,-0.5432909428
565,0.4330332829,-0.5117392478
566,0.4181435536,-0.5446658332
567,0.4044847215,-0.5510772735
568,0.4255748661,-0.535379584
569,0.4288035075,-0.5170520345
570,0.4438290998,-0.5293325656
571,0.439220517,-0.533590617
572,0.4631606144,-0.5363118046
573,0.4454061685,-0.5174701135
574,0.4370918082,-0.5087615046
575,0.4459891576,-0.5328874225
576,0.4276015029,-0.5255116223
577,0.4385659003,-0.5072828532
578,0.4499276052,-0.511906084
579,0.4535867265,-0.5253362347
580,0.4422398765,-0.5040241646
581,0.4432166051,-0.5117187632
582,0.4420879461,-0.4926219102
583,0.4366154604,-0.5352767894
584,0.4337234453,-0.4963293209
585,0.4219406217,-0.499888504
586,0.4327439298,-0.4880331764
587,0.4445883092,-0.5252763006
588,0.4551402705,-0.4818412269
589,0.4624571762,-0.4997748349
590,0.4540714151,-0.5050868579
591,0.4445062189,-0.5008273939
592,0.4483084424,-0.5088098459
593,0.4524029191,-0.5237221104
594,0.4431634031,-0.5155023164
595,0.4731238008,-0.5144776553
596,0.4603029196,-0.5225695463
597,0.4505167232,-0.5364718994
598,0.4562683109,-0.5243848585
599,0.4626918502,-0.5232185156
600,0.4788717268,-0.5234265656
601,0.4798310455,-0.5485742088
602,0.5068383598,-0.529445578
603,0.4822456246,-0.5608811588
604,0.4618383915,-0.5293757483
605,0.478326465,-0.539825204
606,0.4384219401,-0.5589920492
607,0.4898712648,-0.5349992837
608,0.4692304093,-0.5330130245
609,0.4466140638,-0.5239563699
610,0.4403187642,-0.557685005
611,0.4422691506,-0.5492068959
612,0.438166302,-0.5225374041
613,0.4274770166,-0.5074516062
614,0.4132276315,-0.5228784885
615,0.4263798872,-0.5403351964
616,0.3875614806,-0.5291207423
617,0.4508041643,-0.5083139133
618,0.4342273345,-0.5209794752
619,0.4288407821,-0.5260772567
620,0.4325851539,-0.5238538118
621,0.4454174858,-0.5575653629
622,0.3869135018,-0.5274601867
623,0.4301669939,-0.5343777767
624,0.4569998896,-0.5415001219
625,0.4354317656,-0.5146602892
626,0.4187581882,-0.5439279982
627,0.4578185638,-0.5607031824
628,0.4481133297,-0.5777031715
629,0.4096415556,-0.541283006
630,0.4474259576,-0.5504444041
631,0.4162816236,-0.5677620235
632,0.4317431522,-0.5525219423
633,0.413123275,-0.5629111734
634,0.4620041009,-0.5711067245
635,0.4180675887,-0.5531310311
636,0.4241660756,-0.5564642624
637,0.4468996882,-0.5521709885
638,0.4323173268,-0.548095776
639,0.4030123808,-0.5419990974
640,0.4469054781,-0.5392859818
641,0.4125845666,-0.5461575769
642,0.4112691959,-0.5584839815
643,0.4407892777,-0.5571775003
644,0.3954416241,-0.543686332
645,0.3848589911,-0.5522511133
646,0.4118097152,-0.5422672993
647,0.4160753257,-0.519359102
648,0.4062607489,-0.5392495461
649,0.4163581282,-0.5518712599
650,0.4233797934,-0.5522248192
651,0.4063217374,-0.5662140504
652,0.4131767189,-0.5596780426
653,0.423954682,-0.5556188473
654,0.4568725135,-0.5829898172
655,0.441886371,-0.5757631844
656,0.446907296,-0.5544714671
657,0.4229644186,-0.5528319242
658,0.4371845833,-0.5461565935
659,0.4136301117,-0.5548964327
660,0.429100041,-0.570864812
661,0.4032621845,-0.5566706712
