"Respondent","ASC1","BTime","BCost"
9015,0.683083755134167,0.128932942241228,0.364061588026983
9017,0.635685369878887,0.0906989559691435,0.3557655165695
9018,0.654542075760571,0.111777461156563,0.351576455811196
9019,0.681210264614063,0.156246045703868,0.377787611036373
9020,0.633817757760133,0.138995135398104,0.391238569537848
9021,0.670112716401196,0.148370565076776,0.397776274658401
9023,0.675504868861199,0.168048486727148,0.380452586045575
9024,0.663755463668629,0.141486007951251,0.381633808669373
9026,0.645576393481874,0.160584158613427,0.393660470806898
9027,0.652922803968116,0.16927628757614,0.396056503804439
9028,0.70093621322676,0.162844379210447,0.398120051320627
9033,0.647695928860662,0.112331929023411,0.349880745874803
9034,0.65565537541649,0.148507313699463,0.397480169621347
9037,0.645915866991223,0.152553972634957,0.390522868189696
9040,0.659043435065216,0.082679113439194,0.324861710002963
9041,0.658078329143508,0.175904404357724,0.416567986291797
9054,0.658011815403322,0.144765895199491,0.384000683632612
9055,0.675015818738868,0.0912496505762138,0.361879074784468
9056,0.671347838921803,0.11494609691595,0.366048791969753
9057,0.685619229626174,0.165315544878432,0.39116531169218
9061,0.694329668764122,0.169436080965977,0.392293336023188
9066,0.659723617386908,0.103433739059966,0.374946141616384
9069,0.649403367192443,0.164802251450635,0.397312383900197
9072,0.673048276642209,0.20778248272529,0.405119005881117
9083,0.682754088191772,0.140646685310092,0.35055873037411
9085,0.622823978359858,0.140589292799575,0.394702580590718
9088,0.686194173504794,0.142869257616199,0.359062269115538
9090,0.694360606691519,0.162817645810124,0.400674549586408
9095,0.662785074364142,0.154432636494757,0.383009372116128
9099,0.667305491452287,0.164927503296619,0.396768718387652
9105,0.686351275745132,0.192046613660067,0.405652967512503
9106,0.665739208367396,0.172487580460736,0.387165222869317
9107,0.687935578738429,0.190637751684135,0.388213719426525
9109,0.674754833297526,0.153818034319538,0.388863823238965
9110,0.659291231288688,0.12769346241472,0.385053273409781
9111,0.673168277692153,0.176752939433423,0.388849197298255
9113,0.683821166615341,0.171899248691872,0.392404392329591
