"Respondent","price","brand2","brand3","ff2","ff3","feat2","feat3"
65,0.5551276196,0.9027011341,0.9799018352,1.085199361,0.8967334859,0.9832682387,0.9523053221
66,0.5078944516,1.097706749,1.138445155,1.026530878,0.9302711698,0.9475342797,0.9187191864
67,0.5714643455,0.9302608554,0.9554989584,0.93021424,0.9652035336,1.095380633,0.9282022194
68,0.5216405082,0.9029097855,1.013609566,1.015853423,1.064693775,1.108678598,1.039211523
69,0.4877415876,0.9768995843,1.057218838,0.8567995873,1.16957373,0.9319013267,0.9272181714
70,0.5067903475,1.022809609,0.8768352656,1.016101035,1.013694434,0.9943602614,1.046747302
71,0.5161311386,1.030180376,1.106270497,0.9833943614,0.9452230766,1.083356257,1.130838699
72,0.485702946,0.8717080086,0.948394323,1.066294072,0.8823555203,1.023820289,0.98638703
73,0.5660185615,0.9333464844,1.008824338,0.8757969618,0.9428180554,1.04807961,1.010066732
74,0.5586607913,0.8394842936,1.079536536,1.14116141,0.9240040214,1.018103685,0.9269089519
75,0.5134051391,0.9158834307,1.031366484,0.9907505405,0.930221507,1.05933981,0.9580642209
76,0.6620002118,1.201703035,1.187851138,1.170243154,1.178214253,1.208055343,1.162822705
77,0.5442600093,1.000952021,0.9851304662,0.9912034416,0.9516529101,1.059230342,0.9591708639
78,0.5289113882,0.819106833,0.9894461804,1.00173958,0.8911226869,0.9137865636,1.040943244
79,0.5838684754,0.8830904124,1.011255007,1.018176131,1.006611647,1.044778866,1.009981276
80,0.5546148679,1.03225399,0.8252337497,0.9788579637,1.066628626,1.010240281,1.009141535
81,0.4954839314,1.032053981,1.009609765,1.112992161,1.035480913,1.022232532,1.039169573
82,0.5412067107,0.9405622129,0.8969837649,1.038883735,0.8410600747,1.001211643,1.039828258
83,0.552027287,0.9984435903,1.033067729,1.003801469,1.049506616,0.959836455,1.193720467
84,0.5979051196,0.9743385027,0.9997288954,1.055838312,1.050969695,1.141730792,1.147644301
85,0.5964094912,1.100651067,1.018190014,1.052258763,0.8413441058,0.9844918795,0.8871435741
86,0.5793635288,1.027122548,1.065219152,1.1719971,1.078221233,1.17953516,1.123938718
87,0.539648708,0.8944113948,1.003591998,0.9490469507,1.017869482,0.9678897273,0.9582967554
88,0.561597237,1.14541504,1.161541777,1.013086298,0.9664428564,1.067074616,0.9180489227
89,0.5547042133,0.8572984662,1.085697527,1.239081486,0.9858441501,1.037098464,1.099553861
90,0.5499577926,0.9956245358,1.228079151,1.017792728,1.090994054,0.9860795186,1.061402086
91,0.4506021415,1.032971695,1.013053934,0.8604194214,0.9780525585,0.9346996932,1.109636113
92,0.5735082868,0.9620343083,1.139539769,1.124010221,1.019126317,1.142176772,0.9835128647
93,0.5728058218,0.9325298487,1.161486704,1.04171882,1.039983881,1.005991602,1.193086093
94,0.5728350849,1.096106562,1.128050983,1.097617937,1.134439127,1.103823539,0.9841508985
95,0.5936883542,0.9590210607,1.067567155,0.9872640686,1.047071689,0.9987995801,1.023346607
96,0.5574157315,0.9161585545,1.103441001,0.8938954732,0.9526862182,0.9839908158,1.031943522
97,0.52079383,0.9182859628,1.048615881,1.177826759,1.042850845,0.9722857746,0.9961384509
98,0.480093205,1.10461005,0.9663141615,0.9060355942,0.9289553116,0.9906503661,0.912439303
99,0.5618481037,0.9723339941,0.9991899363,0.9511639579,1.057056955,1.038158559,1.123576509
100,0.5330683798,1.08179974,0.9493558942,1.04914187,1.015272346,1.023833196,1.183969946
101,0.5341497739,0.9954275384,1.107795033,1.079149129,1.093421048,1.143027825,1.099673626
102,0.5654865211,0.9902049261,0.8517379736,0.9174743605,0.9035525962,0.9256104357,0.9208482877
103,0.543490926,0.9784902919,0.9032837551,0.9771330943,0.8947502469,0.9053719416,0.967292688
104,0.5345912392,0.9219518242,0.9139415379,1.087324135,0.9145893101,1.005077585,1.008041872
105,0.5984077247,0.982444207,0.9966935969,1.116676832,1.105497825,1.028701434,1.070391611
106,0.5756512036,1.101804998,1.00631062,1.189763735,1.029843704,1.060215868,1.043546196
107,0.5147620648,1.028839785,0.9906615219,0.9692508254,0.9694371545,0.960818661,0.9929461103
108,0.5494980824,0.9402901003,1.106928623,0.9847929015,0.9477764594,0.9856954175,1.026683069
109,0.5634622722,0.9184036457,1.018590661,0.9671076711,1.025029937,0.9228987405,1.124252691
110,0.6001722488,0.9819027525,0.85148748,1.13496641,1.018801409,1.087673038,1.121062337
111,0.5373810915,0.9442468406,0.8898557222,1.136608691,0.9300670851,1.027286108,1.101870107
112,0.5653457688,0.9451806693,1.12367706,0.8920040313,1.084281216,1.115104033,1.155044402
113,0.5249038243,0.8918727817,0.9987642698,1.095819632,0.8933880927,1.080026085,1.068803227
114,0.5363862324,0.9148207252,0.9780647786,0.8718603951,1.033760009,0.9191861156,0.9070150958
115,0.4537459336,0.8705470588,1.056218032,0.9422512087,0.8751963712,0.8936264917,1.110986829
116,0.5823942737,0.9674420779,0.9451638615,1.190509675,1.010562749,0.9281300608,1.083352767
117,0.5785778983,0.9716262947,1.173652942,1.030733115,0.9958186272,1.099254322,1.130913724
118,0.5273874836,1.014890436,1.097286298,0.8277854692,1.072655611,1.073092308,0.8763803822
119,0.5602038512,1.051845816,1.071899026,1.051541125,0.9720558219,1.074444872,1.024982004
120,0.5332778156,1.073207979,1.07729551,1.088306,1.097459421,0.9715030734,1.093577465
121,0.5461114806,0.8216057031,0.936975951,0.8847716111,0.9369449166,0.8867652283,1.204965331
122,0.5197101839,0.8631767978,1.183959017,1.020562733,0.9079206636,1.076108897,1.020521381
123,0.5918435343,0.9895279087,1.159534543,0.9819013822,1.103697565,1.20918902,1.082874995
124,0.5604790499,1.06058378,1.035215475,1.111561333,0.9102884244,1.112600169,1.085579023
125,0.5058806608,1.001047223,0.9448366508,0.8653496373,0.9091230712,1.009302814,0.9815080718
126,0.5664997207,0.8969220039,0.9696339856,1.018912829,0.9041464879,0.9533367863,0.9775910542
127,0.5012989178,0.8228764964,1.09122631,0.8688502052,0.9817185045,0.9663594425,0.9566657301
128,0.5231153729,0.8385930507,0.9439274229,0.9496688442,1.029780346,1.066578582,1.051709317
129,0.5517142588,1.039634158,1.106315384,1.045327363,0.9885584675,0.9999406431,1.001729861
130,0.580160283,0.9695777047,1.319389281,1.051653654,1.102471377,1.074292588,1.131129682
131,0.5195898368,1.02724806,0.8315036391,0.8705846473,0.9077827957,1.066406871,1.017616552
132,0.4958333069,1.113200326,1.031452378,0.9893569538,0.9973298244,1.072116543,1.128456284
133,0.5786784815,0.906035137,1.118119146,1.00734989,1.010535843,0.990007286,1.043533565
134,0.5022156771,0.9468017665,0.896613524,0.9309170127,0.887557762,0.9463177518,0.964599733
135,0.4782468061,0.9218844046,1.08251059,1.09751015,1.048288343,0.9549851964,1.027944762
136,0.5268049578,0.9463996034,0.9367797291,1.209563536,0.8517100073,1.0330271,1.132472453
137,0.5919756441,0.8684431155,0.8774328249,0.9199472235,0.9486395989,0.9099749759,0.9574445226
138,0.480183254,1.006666588,0.9498214796,0.9480534163,0.9726304236,1.012370077,1.096321895
139,0.5712590272,1.161051659,1.222128107,1.112121161,1.046297741,0.9766429979,1.022272099
140,0.5817284887,0.936232008,1.142709953,0.9787477535,1.0565648,1.106706919,1.049683435
141,0.4416401597,0.9638029232,0.9733138165,0.97579268,1.001312022,0.8894164574,1.011733123
142,0.5969536231,1.104502862,1.135735888,0.9349322008,1.128055647,1.106950923,1.135788333
143,0.5278782764,0.9539485223,0.8624702504,0.9536598055,0.9326302,0.9444802848,0.8798692298
144,0.5963955722,0.9794031938,1.039363728,1.025826671,0.9753978564,0.9508918469,1.001328954
145,0.5267736709,1.172294674,1.126713816,0.9692306132,1.013688229,1.10366616,1.059540345
146,0.5085284462,0.9850230233,0.9629443243,0.9591691821,1.028925196,0.9132518174,1.08068563
147,0.5664813399,0.9854262141,1.036778725,1.000483847,1.03958999,0.9539822694,0.986261789
148,0.565312786,0.9203544625,1.027787008,0.9297826074,0.9338842059,1.002097055,0.8996397334
149,0.4878911257,0.8906091429,1.050751146,0.9981881351,1.027633699,0.919693047,0.9544832472
150,0.5801351421,0.8625263157,1.05324654,0.9043446517,0.9975916085,1.049332975,0.9343412126
151,0.593853981,0.9246029338,0.9176945528,0.8291140877,0.898971148,0.8645606515,0.945746607
152,0.5445911135,0.9435499054,1.037101923,1.05274166,0.9272862539,1.003818195,1.02104168
153,0.5051642503,1.087410964,1.128385855,1.002835339,1.029458319,1.007710277,1.065421724
154,0.6132787712,0.9992641115,1.012211669,1.033695287,1.09393149,1.018800849,1.122576875
155,0.528244928,0.8343637719,1.000242802,0.8972468852,0.974219587,1.023604078,1.039236003
156,0.4420347752,0.931533753,0.9701208339,1.085577709,1.014406907,1.255338133,1.133117468
157,0.5769580539,1.107174668,1.056165987,0.9682714155,0.9764194341,1.007994168,1.167147875
158,0.5368475667,0.9669506257,1.106632506,1.030083978,0.9642152292,1.025901352,1.061309304
159,0.5583035216,0.9786422778,1.032982797,1.104110225,0.9389446674,1.014929277,1.085268341
160,0.525489621,0.9113270682,0.9509955105,0.8767542918,0.9711303255,0.948949805,1.111464386
161,0.4904198947,0.764629273,0.9704177573,0.8805899592,1.006017214,0.9023626859,1.04601448
162,0.5139440892,1.016105441,1.25592188,0.979946136,1.01554947,1.092969363,1.014792372
163,0.5373325268,0.995579866,1.114175854,0.8704412254,0.9634697887,0.8950800321,1.025414823
164,0.469502987,0.9479735627,1.224772245,1.024135851,0.8436953389,1.007758192,0.9570282281
165,0.4699488304,0.9048681908,1.018755962,1.114858249,0.9088145918,1.003965975,0.9271876703
166,0.5187699751,0.9519050647,1.08659348,0.8948807358,0.9405401774,1.081943691,0.9657139317
167,0.5767047395,1.01513644,0.9489425096,1.104788484,1.079684253,0.9928723296,1.066633201
168,0.6266705198,0.9306653698,1.159503152,1.240843997,1.098612178,1.065153074,1.090967558
169,0.5841696771,0.9639751094,1.062461987,1.083145906,1.053582604,1.055934228,0.9985910395
170,0.4332056395,0.8843538079,0.9686690998,0.9438639597,1.008580679,0.8883650652,1.062751205
171,0.6021077261,0.9676097533,0.9953305373,1.031953775,1.010813486,1.135219003,1.138008163
172,0.6190423078,0.9923010881,0.9689993513,1.149002025,1.062652332,1.084308113,1.023687843
173,0.5839053499,0.8400318012,1.072904075,1.032557977,0.9814575219,1.008578742,1.060161182
174,0.4957240306,0.8713724803,0.8966571931,1.065723026,0.9662664416,0.9665827182,0.9338374991
175,0.5316028126,1.079386784,1.00408693,1.038848017,0.9461264987,1.048827743,1.023700799
176,0.561405004,0.9010597711,0.9948583691,1.040221137,0.823911823,0.9880388934,0.9306901031
177,0.4714472375,0.958811932,1.044704408,0.9885154438,1.015911478,0.9592444414,1.070543875
178,0.5572368362,0.9793659478,1.033165974,0.9912427054,1.08121941,1.131681728,1.090058155
179,0.525848743,1.020678102,1.138463476,1.069228921,1.005636343,1.03057957,0.9641882273
180,0.5659134561,0.9916748456,1.200374091,1.10506687,0.9728334239,1.30548608,0.9771579615
181,0.4926608545,0.941826818,0.9988672238,0.8977237947,0.984124882,1.015207474,1.045973575
182,0.556836455,1.026822975,1.057278983,1.036925343,1.004233083,1.204841363,1.067644757
183,0.463239815,0.991247774,0.9318951717,0.9772893938,1.015122078,0.9252060811,1.035298608
184,0.5772210036,0.952834863,1.065808485,1.114820546,1.016208524,1.126834722,0.9964539368
185,0.4117757606,0.8532069827,0.9102021671,1.015751081,0.9054468272,0.9737827698,0.8727412936
186,0.6200827843,1.014277231,1.146372467,1.093170886,1.043440291,1.209247903,1.073824883
187,0.589181371,1.030589316,1.016770542,0.8760106239,1.180547321,0.9788528623,0.9741446695
188,0.5891584478,1.055322244,1.027126488,1.149487004,1.044354338,1.076242086,1.135296797
189,0.5837397925,0.9456952588,1.09239338,1.137910629,1.201951953,1.121898849,1.195451642
190,0.5325707058,0.8576942461,1.039854652,0.9051530264,0.8686229712,0.9292444649,1.064291301
191,0.4616940724,0.9531223837,0.999517564,0.8328168334,0.9853483574,0.8419357794,1.000515477
192,0.5181920731,1.009303047,0.9258494365,0.9178656796,0.9793334913,0.9195965349,1.002590562
193,0.5498628132,1.1245333,1.095831838,0.9608696271,1.121438362,1.170411276,1.080740843
194,0.5647312875,1.070713121,1.003785423,0.8748413239,1.042127272,0.9191536346,0.9422513763
195,0.5236309064,0.9340717184,1.144302548,1.209978012,0.939360455,0.8867843133,1.138968263
196,0.5439017426,1.130650724,1.101455404,1.0381423,1.169675626,1.095008482,1.125838831
197,0.5481100301,0.9796891501,1.226084067,1.287319851,1.017564849,1.178356746,1.122554986
198,0.4799614503,0.9389140358,0.8966609123,0.8408677281,0.9725071307,1.021613548,0.9706641377
199,0.5450757342,0.9782181694,1.182513877,1.232668813,0.9459524154,1.073341075,1.000509159
200,0.5720154451,1.226043443,1.035098203,1.055285897,1.11651849,1.129315008,1.084477155
201,0.4966267693,0.9909306264,0.8670135533,1.007042343,1.043881806,0.955485144,1.003003307
202,0.6165053983,1.094440174,1.048882055,1.002932862,0.9538924554,0.9990697156,0.9474561454
203,0.5771441322,0.8903361636,1.155866884,0.8997950631,0.9767648528,1.052010825,1.007630983
204,0.4998478917,0.8453436412,1.16275824,1.085003263,0.9505855884,1.025917495,1.028332038
205,0.5283086736,1.004412127,1.129692224,0.9257755666,0.9215282566,0.9083265243,0.9853570699
206,0.5144812927,0.9919110628,1.023729841,0.872018846,1.258596229,1.063646171,1.028088242
207,0.5653530226,0.9460321983,1.19053325,1.033994673,1.046477249,1.184624968,1.085934618
208,0.629824639,1.019523787,1.143324435,0.9727182615,1.097473983,0.9590000867,0.9798302551
209,0.4887258146,1.010944432,1.142532122,0.8206712069,1.050287841,0.9848248876,1.056558027
210,0.5995621862,0.9044505962,1.168592224,1.018570508,1.123020662,0.9238227126,1.020566352
211,0.5252371732,0.9915400292,0.9002780868,1.138254348,1.000815405,1.049473629,1.02384148
212,0.549055901,0.9949311737,1.050468175,0.9947586063,0.9827960278,1.026132955,1.033206287
213,0.5210182117,0.9290491885,1.072654834,1.02777505,1.017072812,1.086538833,1.027337721
214,0.4522871002,0.992498339,1.020039455,1.001092579,1.002616146,0.9935685846,0.9356103915
215,0.5563987745,0.8265897052,1.061827614,0.9005553526,1.002188266,1.026283348,1.067292613
216,0.570866937,1.098320227,1.192821279,1.030100191,1.153625725,1.105087328,1.079300833
217,0.6356841177,1.104372063,1.10869045,1.126752957,1.127266398,1.162284556,1.130743142
218,0.5405452287,0.9343718612,1.051890045,0.954275032,1.094758353,0.9827797597,1.133014986
219,0.4982842203,0.9650418996,1.022781288,0.9320681385,1.05613631,0.9390609186,1.081610078
220,0.5708003641,1.030761513,0.9756828784,0.9605529643,0.8620199764,0.9486627235,0.9572245095
221,0.4953628968,0.9063652116,1.024406859,0.8850544968,0.9234448958,0.8992476821,1.052163782
222,0.6151018487,0.8505872577,1.063648993,1.076779187,0.9957613513,1.073086919,1.034674566
223,0.5257321107,0.950429165,1.048890869,0.9176014582,1.02910347,1.077397872,1.04778187
224,0.5484739745,0.9245273188,1.052457,0.9934785108,1.015779978,0.986639493,1.065990957
225,0.534764915,1.064047635,0.9745778903,0.9823508598,0.980270152,1.001994443,0.9778985537
226,0.5541397559,0.9842460436,1.011038417,1.020248302,1.017892974,0.9280181281,1.000238764
227,0.5581204537,0.8166474351,1.014415719,0.917714514,0.8512036836,0.9626494043,0.853623879
228,0.6325510581,1.034006579,1.155582704,1.209115716,1.119447268,1.074519928,1.037309832
229,0.4887274586,0.8475840001,0.9101967362,0.9031146271,0.9532918172,1.036350843,1.154326998
230,0.5123666114,0.9734447728,1.012389517,1.207746631,0.9167882379,0.9406609495,0.8979578785
231,0.5027662058,0.9350877601,0.9353973369,0.9083687716,0.8542939224,1.010691747,0.9840595052
232,0.5233302782,0.9692885954,0.97527761,0.8718050422,1.050769448,0.9374970172,1.103937102
233,0.4963550433,0.942696249,1.017698598,1.036165302,1.01085485,1.182471537,0.9090663807
234,0.5328981275,0.8391670917,0.8710177613,1.023019554,0.9150885076,0.9750217756,0.9198675173
235,0.5037914735,0.949786273,0.9025258159,0.9752466492,0.9014195919,0.9637212806,1.045768696
236,0.5083672869,0.9807680129,1.017353198,1.009764573,0.9271393001,1.171263021,1.093950953
237,0.567493243,0.9988263022,0.9280532057,0.885246295,1.072295029,0.966260998,0.9493148679
238,0.5725056225,1.038257947,1.013304446,0.9844790909,0.8999862825,0.9748348662,1.076057501
239,0.5285336157,1.004166588,1.076965633,1.00688443,0.8945235202,0.9513454023,1.004918204
240,0.613605968,0.9802789384,1.249364702,1.00104879,1.000410861,0.9330655788,1.05363333
241,0.5127244391,1.051793792,0.9293250651,1.221852541,1.053206318,1.043409178,1.033402889
242,0.5552033827,0.9296023578,1.113365565,0.9862200648,1.047527345,1.004062331,0.9547155378
243,0.6180098977,0.9489542024,1.156705598,0.9666753731,1.006182486,1.112038128,0.9596025377
244,0.5347791414,0.9110545919,1.051317461,1.023091747,1.003371861,1.064739751,1.068707289
245,0.4968226793,0.9877148908,1.05853855,0.9219768558,0.9223178169,1.046738685,0.9955786933
246,0.5414549536,1.015322599,0.9672344315,0.9925715829,1.043655912,1.006426612,1.11981039
247,0.4656906472,0.8958843121,0.9226737587,0.8801012945,0.986005577,0.8980658616,0.8053490714
248,0.4922969802,0.8926744049,0.8945439807,0.984551825,0.8302966105,0.982143188,1.040597983
249,0.5951240042,0.9712628153,0.9144252684,1.021936886,1.008442595,1.08500732,1.004396592
250,0.6069470689,0.9772702127,0.8947088123,0.9474520592,0.9439654129,0.9812874222,0.9655802935
251,0.5077765052,0.837233837,1.170047537,0.9121807064,0.8656325309,1.046694212,1.062238662
252,0.5846926253,0.8910992312,0.8644656909,0.9526018621,0.9999205205,0.9733196186,0.8306743068
253,0.5633496991,0.9940699372,1.005971555,1.011457511,0.9262579748,1.045855005,0.9407543836
254,0.5473462092,0.7893797826,0.9720687801,0.8954995153,0.9602648118,0.9415756336,0.8860957699
255,0.549229111,0.9997014673,0.9630432845,0.9670797122,1.016993942,1.014052332,1.02547308
256,0.607561397,1.074324042,1.052871063,0.9926791681,0.8552489181,1.048250391,0.9555024836
257,0.5069324651,1.203650441,1.157360744,0.9752648847,0.8842434498,0.9372748265,0.9652553485
258,0.6363546075,0.9760809665,1.03119807,1.001265794,1.027650357,1.049724084,1.033924702
259,0.5661875346,0.8789755972,0.9826501125,1.075667092,0.913268291,1.004200993,1.001408227
260,0.6135466982,0.9476942708,1.188373775,1.117147687,1.209089057,0.990290486,1.113401547
261,0.518399159,0.9758224122,0.9425351706,1.026221343,1.077200067,1.030995547,1.019137727
262,0.5598573393,1.128515007,0.9293378885,1.09421368,0.9424361938,1.085825291,0.8932196025
263,0.534181151,0.8912682282,0.9245782097,0.8775806275,0.8619465214,0.9306490325,0.99063432
264,0.5807061515,1.077931774,1.102986346,1.161054006,0.9980149724,1.112421113,1.078767722
265,0.5713540456,1.036004948,0.9955177645,1.009488633,0.8764737799,0.9536064002,1.007367266
266,0.5783079783,1.070259722,1.146704266,0.9695396519,0.9547294731,1.007994107,1.11886651
267,0.4859172966,1.074656475,0.9188747931,0.9375004165,0.9429521775,0.9232280611,0.960766189
268,0.5143574791,0.8460327333,0.9362641219,0.9213077314,0.9143559437,0.9898194107,0.9447241039
269,0.6655513976,1.076360625,1.071293996,0.973819523,1.01863469,1.133795516,1.006395125
270,0.5978271644,1.189023833,1.004585528,1.124459107,1.130231156,1.088385267,1.076546625
271,0.5038572884,0.7960495251,1.259413591,0.965582917,0.7999774606,0.9078566639,0.8907334139
272,0.5187469665,1.082071813,0.9893681413,0.8575597615,0.9319797666,1.014764812,1.167293073
273,0.5531808257,1.052437179,1.116943656,1.092342233,1.072312789,1.135239477,1.16183356
274,0.5215167679,0.9632128125,1.199306139,1.060188856,1.0134604,0.9319620468,1.064622488
275,0.5058833005,0.9229200392,1.024999862,1.046309959,0.8968804155,0.9592987176,1.076831136
276,0.4848823832,0.9469385801,1.012474276,1.010259133,0.8643933732,1.050822799,1.068013482
277,0.602810806,1.011852154,1.0663086,0.8849521533,1.017854241,1.057176297,1.0515975
278,0.5714558218,1.049605596,0.9635042344,1.056500406,0.9695841022,1.049209248,1.083849811
279,0.5804428781,0.8602187453,1.024055227,0.9728040211,1.063744328,1.071599267,1.064944007
280,0.5596429647,0.9602620936,1.088966691,1.095237261,0.9465173656,1.056663777,0.903195244
281,0.6043342912,0.8723326799,1.119287233,1.046725235,1.104332979,1.084424493,1.010672648
282,0.4930985635,0.9523483595,0.9601357145,1.030664831,0.8942136701,0.9280300017,1.099703646
283,0.5925111201,1.014732364,1.075212287,0.9901074062,0.9948034927,0.9889841854,1.041881632
284,0.5952238775,0.903744374,1.100182738,0.9543463702,1.043910655,1.119068793,1.045093529
285,0.4754491534,0.955621886,1.162347246,1.134807092,1.034531749,0.9891808273,1.180255379
286,0.5132321077,1.008270342,1.137737621,1.018604461,1.026170763,1.034884858,0.9810061829
287,0.5191636158,0.9497920833,1.034587173,1.056737512,1.129625863,1.031816359,1.079417721
288,0.6191547007,1.007794698,1.053480646,0.9086277847,1.002166104,1.031206278,1.220463327
289,0.5267655316,0.9477696213,1.019625497,0.9658339008,0.9788160318,0.983644952,0.9977187228
290,0.5968235649,0.9950437017,1.179765963,1.050762428,1.04814149,1.118116519,1.201281077
291,0.6040381827,0.9417097145,1.031784346,0.9047006428,1.063371237,1.140583118,1.052436903
292,0.5953796092,1.043866681,1.027348445,1.247494012,0.9527998637,1.226153283,1.144863867
293,0.5193223071,0.8768924248,1.147512829,0.9435132667,0.956440437,1.006102719,1.035127367
294,0.5164463209,0.8564872018,0.8890763502,1.041955081,1.026463686,1.022233012,1.117780134
